Species,Block,Latitude,Longitude,AddressAccuracy,Id,Year,Week,Day,Station,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
1,22,41.731922,-87.677512,8,18,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,53,41.891126,-87.61156,5,19,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,53,41.891126,-87.61156,5,20,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,65,41.999129,-87.795585,8,21,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,75,42.01743,-87.687769,8,22,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,15,41.907645,-87.760886,8,23,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
3,89,41.732984,-87.649642,8,24,2007,22,183,2,88,65,77,59,66,0,12,0.00,29.44,30.09,5.8,16,7.4
2,41,41.95469,-87.800991,9,25,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,41,41.95469,-87.800991,9,26,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,41,41.95469,-87.800991,9,27,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,79,41.974089,-87.824812,8,28,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,79,41.974089,-87.824812,8,29,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,15,41.9216,-87.666455,8,30,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,15,41.9216,-87.666455,8,31,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,15,41.9216,-87.666455,8,32,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,25,41.891118,-87.654491,8,33,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,11,41.867108,-87.654224,8,34,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,11,41.867108,-87.654224,8,35,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,11,41.867108,-87.654224,8,36,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,11,41.896282,-87.655232,8,37,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,21,41.919343,-87.694259,8,38,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,21,41.919343,-87.694259,8,39,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,22,41.921965,-87.632085,8,40,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,22,41.688324,-87.676709,8,41,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,17,41.720848,-87.666014,9,42,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,22,41.731922,-87.677512,8,43,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,22,41.731922,-87.677512,8,44,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,22,41.731922,-87.677512,8,45,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,65,41.999129,-87.795585,8,46,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,65,41.999129,-87.795585,8,47,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,15,41.907645,-87.760886,8,48,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,89,41.732984,-87.649642,8,49,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,91,41.981964,-87.812827,8,50,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,36,41.944869,-87.832763,8,51,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,72,42.011601,-87.811506,8,52,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,38,41.94983,-87.698457,9,53,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,49,41.979243,-87.750938,9,54,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,58,41.986921,-87.689778,9,55,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,50,41.801498,-87.763416,9,56,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,14,41.906638,-87.701431,9,57,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,10,41.723195,-87.64997,5,58,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,11,41.868077,-87.666901,9,59,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,11,41.868077,-87.666901,9,60,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,11,41.869216,-87.627561,8,61,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,42,41.662014,-87.724608,8,62,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,42,41.662014,-87.724608,8,63,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
1,42,41.662014,-87.724608,8,64,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,53,41.961743,-87.76007,9,65,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,53,41.961743,-87.76007,9,66,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,40,41.953067,-87.776792,8,67,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,40,41.953067,-87.776792,8,68,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,43,41.878114,-87.629798,3,69,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,42,41.958271,-87.702575,9,70,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,42,41.958271,-87.702575,9,71,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,28,41.932094,-87.700117,8,72,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,15,41.994469,-87.667736,8,73,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,18,42.006858,-87.675919,9,74,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,70,41.916265,-87.800515,8,75,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,70,41.916265,-87.800515,8,76,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,25,41.846075,-87.716277,9,77,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,21,41.918705,-87.752329,8,78,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,35,41.682587,-87.707973,9,79,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,35,41.682587,-87.707973,9,80,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,93,41.725517,-87.614258,8,81,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,37,41.948167,-87.730698,8,82,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,37,41.948167,-87.730698,8,83,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
3,45,41.963976,-87.69181,9,84,2007,23,166,2,63,51,57,47,52,8, 0,0.27,29.16,29.78,6.2,3,8.1
2,41,41.95469,-87.800991,9,85,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,41,41.95469,-87.800991,9,86,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
4,41,41.95469,-87.800991,9,87,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,62,41.994991,-87.769279,9,88,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,62,41.994991,-87.769279,9,89,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,79,41.974089,-87.824812,8,90,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,15,41.9216,-87.666455,8,91,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,15,41.9216,-87.666455,8,92,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,25,41.891118,-87.654491,8,93,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,25,41.891118,-87.654491,8,94,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,11,41.867108,-87.654224,8,95,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,11,41.896282,-87.655232,8,96,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,21,41.919343,-87.694259,8,97,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,22,41.688324,-87.676709,8,98,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,22,41.688324,-87.676709,8,99,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,22,41.688324,-87.676709,8,100,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,22,41.731922,-87.677512,8,101,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,53,41.891126,-87.61156,5,102,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,53,41.891126,-87.61156,5,103,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,65,41.999129,-87.795585,8,104,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,65,41.999129,-87.795585,8,105,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,75,42.01743,-87.687769,8,106,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,75,42.01743,-87.687769,8,107,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,36,41.944869,-87.832763,8,108,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,36,41.944869,-87.832763,8,109,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,72,42.011601,-87.811506,8,110,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,72,42.011601,-87.811506,8,111,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,38,41.94983,-87.698457,9,112,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,49,41.979243,-87.750938,9,113,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,58,41.986921,-87.689778,9,114,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,58,41.986921,-87.689778,9,115,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,14,41.906638,-87.701431,9,116,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,14,41.906638,-87.701431,9,117,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,11,41.868077,-87.666901,9,118,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,11,41.868077,-87.666901,9,119,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
1,11,41.868077,-87.666901,9,120,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,42,41.662014,-87.724608,8,121,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,42,41.662014,-87.724608,8,122,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
1,42,41.662014,-87.724608,8,123,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,53,41.961743,-87.76007,9,124,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,53,41.961743,-87.76007,9,125,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,40,41.953067,-87.776792,8,126,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,43,41.878114,-87.629798,3,127,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,42,41.958271,-87.702575,9,128,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,28,41.932094,-87.700117,8,129,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,18,42.006858,-87.675919,9,130,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,70,41.916265,-87.800515,8,131,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,70,41.916265,-87.800515,8,132,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,35,41.682587,-87.707973,9,133,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,35,41.682587,-87.707973,9,134,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,45,41.963976,-87.69181,9,135,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,40,41.953705,-87.733974,8,136,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,46,41.964242,-87.757639,8,137,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,60,41.990284,-87.797127,8,138,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,60,41.990284,-87.797127,8,139,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,70,42.008314,-87.777921,9,140,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,61,41.991429,-87.747113,8,141,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,27,41.843811,-87.686763,9,142,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,68,41.921177,-87.79518,8,143,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,21,41.852652,-87.719887,8,144,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,21,41.852652,-87.719887,8,145,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,30,41.857402,-87.694991,8,146,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,11,41.868142,-87.696269,9,147,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,11,41.868142,-87.696269,9,148,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,25,41.846283,-87.656913,9,149,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,10,41.721474,-87.648064,8,150,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
1,10,41.869107,-87.696293,9,151,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,96,41.719059,-87.675088,9,152,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,96,41.719059,-87.675088,9,153,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
3,18,41.966987,-87.674677,8,154,2007,26,208,2,91,73,82,69,72,0,17,-1,29.45,30.09,7.3,21,8.1
2,41,41.95469,-87.800991,9,155,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,79,41.974089,-87.824812,8,156,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,79,41.974089,-87.824812,8,157,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,25,41.891118,-87.654491,8,158,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,22,41.921965,-87.632085,8,159,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,22,41.688324,-87.676709,8,160,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
1,22,41.688324,-87.676709,8,161,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,11,41.862292,-87.64886,8,162,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,22,41.731922,-87.677512,8,163,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,65,41.999129,-87.795585,8,164,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,75,42.01743,-87.687769,8,165,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,75,42.01743,-87.687769,8,166,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,15,41.907645,-87.760886,8,167,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,72,42.011601,-87.811506,8,168,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,58,41.986921,-87.689778,9,169,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,58,41.986921,-87.689778,9,170,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
1,50,41.801498,-87.763416,9,171,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,10,41.723195,-87.64997,5,172,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,11,41.868077,-87.666901,9,173,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,11,41.868077,-87.666901,9,174,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
1,11,41.868077,-87.666901,9,175,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,42,41.662014,-87.724608,8,176,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,53,41.961743,-87.76007,9,177,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,40,41.953067,-87.776792,8,178,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,43,41.878114,-87.629798,3,179,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,42,41.958271,-87.702575,9,180,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,18,42.006858,-87.675919,9,181,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,70,41.916265,-87.800515,8,182,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,70,41.916265,-87.800515,8,183,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,35,41.682587,-87.707973,9,184,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,37,41.948167,-87.730698,8,185,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,60,41.990284,-87.797127,8,186,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,61,41.991429,-87.747113,8,187,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,30,41.857402,-87.694991,8,188,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,30,41.857402,-87.694991,8,189,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,10,41.721474,-87.648064,8,190,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
1,10,41.721474,-87.648064,8,191,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,61,41.923738,-87.785288,9,192,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,64,41.970248,-87.787992,8,193,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,12,42.010412,-87.66214,8,194,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,10,41.89923,-87.716788,9,195,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,10,41.89923,-87.716788,9,196,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,20,41.692555,-87.598865,8,197,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
3,20,41.692555,-87.598865,8,198,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,33,41.94016,-87.794896,9,199,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,11,41.903002,-87.688267,8,200,2007,26,211,2,71,56,64,56,60,1, 0,-1,29.47,30.11,7.4,2,8.2
2,41,41.95469,-87.800991,9,201,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,41,41.95469,-87.800991,9,202,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
2,62,41.994991,-87.769279,9,203,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,62,41.994991,-87.769279,9,204,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
2,79,41.974089,-87.824812,8,205,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
2,15,41.9216,-87.666455,8,206,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,15,41.9216,-87.666455,8,207,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
2,25,41.891118,-87.654491,8,208,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,25,41.891118,-87.654491,8,209,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,11,41.867108,-87.654224,8,210,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
2,22,41.921965,-87.632085,8,211,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,22,41.921965,-87.632085,8,212,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
2,22,41.688324,-87.676709,8,213,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
3,22,41.688324,-87.676709,8,214,2007,27,191,2,77,58,68,50,59,0, 3,0.00,29.55,30.21,7.4,12,8.5
